,Coin 0,Coin 1,Coin 2,Coin 3
767,85.03774261--122.87950897,45.53480148--56.66043854,68.96859741--79.96247864,84.85462952--93.60678864
768,85.55809021--122.87041473,48.97335434--55.94158936,68.15574646--79.48992920,85.69729614--93.56539917
769,86.16580963--123.17519379,51.87899399--55.50040054,67.44445801--79.10775757,86.39025116--93.57661438
770,86.66899872--123.60379791,54.18613815--55.24901581,66.83625793--78.91310883,86.92747498--93.57290649
771,86.96376038--123.98956299,56.06287003--55.08829880,66.37152863--78.72574615,87.41426086--93.62209320
772,87.16926575--124.32518768,57.53507996--54.93236923,65.98925781--78.65615082,87.72233582--93.64363861
773,87.29030609--124.64882660,58.75395966--54.78901672,65.62863159--78.72813416,87.89520264--93.63748932
774,87.35837555--124.95641327,59.70017624--54.69827652,65.30731964--78.87465668,87.97540283--93.61204529
775,87.38740540--125.24514771,60.41984177--54.65732193,65.02083588--79.08353424,87.97787476--93.55264282
776,87.38442230--125.50107574,61.01205826--54.63355255,64.75616455--79.32602692,87.94972992--93.47423553
777,87.36822510--125.72988892,61.51201248--54.61660385,64.51448059--79.58258820,87.89123535--93.38992310
778,87.34130859--125.95577240,61.95574570--54.60494995,64.27931213--79.87609863,87.78888702--93.29353333
779,87.30458069--126.17366791,62.32448959--54.60592270,64.05827332--80.19270325,87.65773010--93.19210815
780,87.26171875--126.38071442,62.61292648--54.61832047,63.85737991--80.52238464,87.50151062--93.08889771
781,87.21328735--126.57542419,62.82762146--54.63917542,63.67740250--80.85870361,87.32653809--92.98756409
782,87.16085815--126.75710297,62.96993637--54.66785431,63.52013779--81.19469452,87.13687134--92.89149475
783,87.10389709--126.93583679,63.03069305--54.70817184,63.38409424--81.54080963,86.91820526--92.79827118
784,87.04087830--127.10317230,62.96386337--54.76858521,63.28424072--81.88773346,86.67317200--92.71340179
785,86.97087097--127.25003815,62.73251343--54.85316849,63.23464203--82.22338104,86.40354919--92.64250946
786,86.89218903--127.37061310,62.30653763--54.96549225,63.24575806--82.53981781,86.10828400--92.58996582
787,86.80239105--127.45990753,61.65776443--55.10931015,63.32648468--82.83170319,85.78572083--92.55937195
788,86.70013428--127.51483917,60.72148514--55.29589462,63.49466705--83.09664154,85.41999817--92.55404663
789,86.57699585--127.52259827,59.43710709--55.53316116,63.76855087--83.32712555,85.01000977--92.58116150
790,86.42501831--127.47379303,57.79262924--55.81943130,64.15282440--83.51647186,84.56137848--92.64527893
791,86.23944092--127.36473846,55.80910110--56.14906693,64.64288330--83.66053009,84.08244324--92.74732971
792,86.01911926--127.19425201,53.53176498--56.51539612,65.22969055--83.75295258,83.58792114--92.88583374
793,85.81701660--126.91019440,51.16505432--56.90161514,65.90599060--83.56350708,83.20581055--93.05014038
794,85.61528778--126.52796936,48.66954422--57.27508926,66.66797638--83.20626068,82.89972687--93.22447968
795,85.38710785--126.05258942,46.13599396--57.63122559,67.50771332--82.70571136,82.71557617--93.40924072
796,85.10618591--125.51105499,43.70033646--57.97751999,68.43778992--82.10913849,82.73782349--93.60428619
797,84.87489319--124.89871979,41.55212784--58.23559570,69.30607605--81.56558990,82.80972290--93.76239777
798,84.63117981--124.19886017,40.84817123--58.14551926,69.74523926--81.11780548,83.14637756--93.79548645
799,84.63211060--123.53820038,41.57873154--57.75272751,69.77682495--80.66716766,83.66761017--93.75418091
800,84.83764648--123.03179169,43.66193771--57.12475586,69.40281677--80.19258881,84.37483215--93.67056274
801,85.23088837--122.81560516,47.17312622--56.28547668,68.57555389--79.78490448,85.24897766--93.56164551
802,85.82640076--122.96543121,50.43097305--55.68926239,67.80471802--79.26879120,86.05232239--93.57313538
803,86.43194580--123.37329865,52.98574066--55.37618637,67.16014099--79.00547028,86.64717102--93.57860565
804,86.81892395--123.78211212,55.07654190--55.17772675,66.62144470--78.80609131,87.16928101--93.59814453
805,87.06916046--124.13433075,56.75963211--55.01583099,66.19976807--78.66710663,87.57869720--93.63562012
806,87.23273468--124.47023773,58.09685898--54.86737442,65.82894135--78.67477417,87.80375671--93.64256287
807,87.32246399--124.79154205,59.23262787--54.73496628,65.47080994--78.79619598,87.94279480--93.62587738
808,87.37614441--125.09075928,60.05177307--54.67619705,65.17273712--78.96212006,87.98402405--93.59057617
809,87.38973999--125.36295319,60.70046997--54.64544296,64.89981079--79.18650055,87.97251892--93.51966095
810,87.37985229--125.60243225,61.24454880--54.62472153,64.64832306--79.43191528,87.93227386--93.43927002
811,87.35867310--125.82983398,61.71701813--54.60989380,64.41003418--79.70623016,87.85105896--93.34890747
812,87.32539368--126.05845642,62.13841629--54.60266113,64.17439270--80.02128601,87.72953796--93.24650574
813,87.28530884--126.27026367,62.46635818--54.61069489,63.96321106--80.34331512,87.58885956--93.14476776
814,87.24046326--126.46939850,62.71848679--54.62688446,63.77375793--80.67295074,87.42601013--93.04300690
815,87.19073486--126.65597534,62.90083694--54.65045547,63.60524750--81.00568390,87.24687195--92.94490051
816,87.13668823--126.83644104,63.01134109--54.68320847,63.45650482--81.34566498,87.04476929--92.84991455
817,87.07657623--127.01537323,63.02105331--54.73240662,63.33247375--81.69968414,86.80830383--92.75781250
818,87.00975037--127.17377472,62.87966156--54.80440521,63.25457764--82.04384613,86.55233765--92.67879486
819,86.93596649--127.30786896,62.56592178--54.90026855,63.23133850--82.36983490,86.27383423--92.61627197
820,86.85314941--127.41400909,62.05091476--55.02451706,63.27142334--82.67337799,85.96997833--92.57351685
821,86.75903320--127.48928833,61.28647614--55.18535995,63.38788605--82.95298004,85.63018036--92.55338287
822,86.64974213--127.52549744,60.18573380--55.39712906,63.60545731--83.20372009,85.23915863--92.56165314
823,86.51219940--127.50766754,58.72820282--55.65858841,63.93130875--83.41793060,84.80930328--92.60573578
824,86.34379578--127.43193817,56.93268585--55.96380234,64.36198425--83.58901978,84.34704590--92.68695068
825,86.14225769--127.29692078,54.82491302--56.30810165,64.89207458--83.71347809,83.86080933--92.80485535
826,85.93041992--127.07872772,52.50690842--56.68458939,65.51819611--83.68434906,83.41294861--92.95597839
827,85.73079681--126.75144196,50.05945587--57.07130814,66.23937225--83.42000580,83.05966187--93.12718201
828,85.52110291--126.31902313,47.52963638--57.43230820,67.03202057--82.98979950,82.79438782--93.30424500
829,85.26402283--125.82555389,45.01283646--57.80047226,67.92766571--82.45178986,82.70930481--93.50183105
830,84.99826050--125.25473022,42.67933273--58.11376572,68.83779907--81.87574005,82.75352478--93.68286133
831,84.75668335--124.60521698,41.13504410--58.22653961,69.52732849--81.36814117,82.94242859--93.79013062
832,84.61895752--123.90717316,41.04169083--58.00373459,69.79801941--80.91177368,83.36544037--93.78663635
833,84.70767212--123.29283905,42.39506912--57.49036789,69.64610291--80.44885254,83.97540283--93.71792603
834,84.99853516--122.90189362,45.17491531--56.74687195,69.05386353--80.00261688,84.76599121--93.61808777
835,85.49751282--122.85419464,48.63176727--56.00399017,68.23751068--79.54119110,85.61401367--93.56433105
836,86.10196686--123.12970734,51.60825729--55.53230286,67.51383972--79.13243866,86.32807922--93.57542419
837,86.63050842--123.56139374,53.96199036--55.26758957,66.89047241--78.94136810,86.86665344--93.56660461
838,86.93592834--123.95487976,55.88972092--55.10570145,66.41310120--78.74359131,87.37141418--93.61809540
839,87.15220642--124.29190826,57.39985657--54.94792175,66.02615356--78.65641022,87.69975281--93.64274597
840,87.28131866--124.61591339,58.63681793--54.80329132,65.66561890--78.71485138,87.88172150--93.63941956
841,87.35324097--124.92455292,59.61414719--54.70425797,65.33918762--78.85560608,87.97238159--93.61625671
842,87.38641357--125.21651459,60.35015869--54.66064072,65.05022430--79.05944824,87.97846222--93.56021118
843,87.38520813--125.47672272,60.95501328--54.63578796,64.78208160--79.30173492,87.95277405--93.48215485
844,87.37002563--125.70700073,61.46343613--54.61826324,64.53852081--79.55558014,87.89891052--93.39888000
845,87.34457397--125.93220520,61.91183853--54.60588455,64.30359650--79.84384918,87.80142975--93.30406952
846,87.30879211--126.15106964,62.28963852--54.60514450,64.08068848--80.15842438,87.67302704--93.20295715
847,87.26656342--126.35941315,62.58601761--54.61657333,63.87764740--80.48706055,87.51895142--93.09978485
848,87.21850586--126.55617523,62.80857468--54.63669968,63.69495010--80.82417297,87.34480286--92.99772644
849,87.16633606--126.73885345,62.95821762--54.66461563,63.53536224--81.16019440,87.15711975--92.90113831
850,87.10997009--126.91739655,63.02894592--54.70328140,63.39699173--81.50455475,86.94241333--92.80775452
851,87.04776001--127.08632660,62.97811890--54.76111603,63.29257584--81.85162354,86.70020294--92.72177124
852,86.97863770--127.23566437,62.76563644--54.84299850,63.23718262--82.18872833,86.43321991--92.64921570
853,86.90098572--127.35955048,62.36026001--54.95251465,63.24164963--82.50789642,86.13991547--92.59443665
854,86.81224060--127.45220184,61.73553848--55.09295273,63.31480408--82.80271149,85.82041168--92.56146240
855,86.71124268--127.51100922,60.83368683--55.27428055,63.47255707--83.07083893,85.46009827--92.55326080
856,86.59092712--127.52429962,59.58884811--55.50585556,63.73453522--83.30506134,85.05492401--92.57666016
857,86.44245911--127.48174286,57.98240280--55.78710556,64.10718536--83.49875641,84.61021423--92.63674164
858,86.26087189--127.37888336,56.03040314--56.11295700,64.58734894--83.64721680,84.13352966--92.73495483
859,86.04292297--127.21543884,53.77666092--56.47608185,65.16491699--83.74926758,83.63761902--92.86994934
860,85.83842468--126.94349670,51.41841507--56.86113739,65.83197784--83.58881378,83.24317932--93.03223419
861,85.63679504--126.57260132,48.93309021--57.23716736,66.58549500--83.25050354,82.92759705--93.20593262
862,85.41505432--126.10165405,46.40587997--57.58822632,67.40911865--82.76028442,82.72161102--93.38649750
863,85.13710785--125.57459259,43.95106506--57.94519806,68.33906555--82.17656708,82.73058319--93.58580017
864,84.89978027--124.96970367,41.74806213--58.21836090,69.22230530--81.62305450,82.79608917--93.74980164
865,84.65242767--124.27765656,40.88125229--58.16675949,69.71008301--81.16323090,83.10646820--93.79685974
866,84.62777710--123.60684967,41.44692612--57.80668259,69.79035950--80.71092987,83.60716248--93.76179504
867,84.80884552--123.07601166,43.39273453--57.19762802,69.45785522--80.24065399,84.29477692--93.67897797
868,85.18176270--122.82478333,46.78604507--56.37087631,68.66863251--79.82799530,85.15620422--93.57081604
869,85.76363373--122.94026947,50.10369110--55.74396133,67.88340759--79.32007599,85.97243500--93.57117462
870,86.37307739--123.32857513,52.74311447--55.40286636,67.22250366--79.02809906,86.59049988--93.57887268
871,86.78703308--123.74264526,54.88330841--55.19354630,66.66843414--78.82830048,87.11763763--93.59292603
872,87.04718018--124.10152435,56.60611343--55.03229904,66.23851776--78.67723846,87.54421997--93.63311768
873,87.21965027--124.43655396,57.96971512--54.88210678,65.86635590--78.66746521,87.78701782--93.64350891
874,87.31584167--124.75885773,59.12655258--54.74622345,65.50662231--78.77964020,87.93293762--93.62880707
875,87.37249756--125.06063843,59.97430038--54.68072891,65.20286560--78.94187164,87.98244476--93.59584045
876,87.38941193--125.33679962,60.63886642--54.64791489,64.92668152--79.16310883,87.97417450--93.52725220
877,87.38108826--125.57949066,61.19279099--54.62667847,64.67268372--79.40718079,87.93710327--93.44749451
878,87.36119080--125.80647278,61.67025375--54.61136246,64.43435669--79.67646027,87.86146545--93.35876465
879,87.32931519--126.03480530,62.09757614--54.60289764,64.19845581--79.98717499,87.74375153--93.25748444
880,87.28982544--126.24845123,62.43523026--54.60941696,63.98459625--80.30873871,87.60481262--93.15557861
881,87.24534607--126.44958496,62.69569778--54.62482452,63.79233551--80.63886261,87.44328308--93.05332184
882,87.19590759--126.63772583,62.88516617--54.64780045,63.62137985--80.97212219,87.26540375--92.95456696
883,87.14234924--126.81796265,63.00320053--54.67943573,63.47090149--81.31040192,87.06683350--92.85954285
884,87.08304596--126.99716949,63.02600861--54.72633743,63.34368134--81.66282654,86.83432007--92.76702118
885,87.01710510--127.15802002,62.90223312--54.79570770,63.26041412--82.00818634,86.58045959--92.68645477
886,86.94413757--127.29524994,62.60725021--54.88908768,63.23103333--82.33681488,86.30371857--92.62188721
887,86.86221313--127.40462494,62.11302948--55.01051712,63.26437759--82.64334869,86.00205994--92.57688904
888,86.76911926--127.48307037,61.37763596--55.16696930,63.37201691--82.92562103,85.66699982--92.55432129
889,86.66178894--127.52395630,60.31669998--55.37266159,63.57768250--83.17967987,85.28187561--92.55924988
890,86.52787781--127.51219940,58.89810944--55.62884903,63.89184952--83.39762115,84.85620880--92.59938049
891,86.36325073--127.44255829,57.13496017--55.93013382,64.31249237--83.57291412,84.39657593--92.67672729
892,86.16510010--127.31343079,55.05476761--56.27112961,64.83351898--83.70211029,83.91177368--92.79109192
893,85.95088196--127.10668182,52.74685287--56.64516830,65.45007324--83.70206451,83.45276642--92.93941498
894,85.75091553--126.78991699,50.31718826--57.03221512,66.16094208--83.45578766,83.09208679--93.10910797
895,85.54312134--126.36936188,47.79316711--57.39682770,66.94698334--83.04268646,82.81694794--93.28591156
896,85.29281616--125.88026428,45.27030563--57.76296616,67.83027649--82.51291656,82.70890808--93.48102570
897,85.02310181--125.31632233,42.91058731--58.08449936,68.74601746--81.93083954,82.74853516--93.66571045
898,84.78357697--124.67575073,41.21995926--58.23240280,69.47903442--81.41354370,82.90987396--93.78539276
899,84.62054443--123.97542572,40.97736740--58.04144287,69.79159546--80.95819092,83.31243896--93.79010010
900,84.68785095--123.34682465,42.18249893--57.55529404,69.68387604--80.49770355,83.90177917--93.72693634
901,84.95796204--122.92607117,44.81033325--56.83472061,69.13945770--80.04593658,84.67427063--93.62944031
902,85.43450165--122.83994293,48.29335022--56.06639481,68.31678772--79.59703064,85.52966309--93.56294250
903,86.03722382--123.08687592,51.34260559--55.56420517,67.58044434--79.15996552,86.26604462--93.57435608
904,86.58736420--123.52024841,53.74121475--55.29169846,66.95093536--78.96218109,86.81573486--93.56764221
905,86.90937805--123.91681671,55.71170044--55.12230682,66.45811462--78.75757599,87.32805634--93.61404419
906,87.13475037--124.25642395,57.25849152--54.96343231,66.06521606--78.65625763,87.67505646--93.64183044
907,87.27146912--124.58247375,58.51598358--54.81781006,65.70315552--78.70323944,87.86586761--93.64070129
908,87.34703064--124.89369202,59.52917099--54.71041489,65.36956024--78.83987427,87.96740723--93.61923218
909,87.38475800--125.18785858,60.28172302--54.66413116,65.07877350--79.03609467,87.97970581--93.56762695
910,87.38626099--125.45134735,60.89774323--54.63792038,64.80860138--79.27585602,87.95712280--93.49057007
911,87.37223816--125.68318939,61.41400146--54.61975861,64.56345367--79.52702332,87.90714264--93.40826416
912,87.34799194--125.90847015,61.86754990--54.60672379,64.32815552--79.81139374,87.81365967--93.31463623
913,87.31282043--126.12945557,62.25552368--54.60437775,64.10237122--80.12586212,87.68691254--93.21326447
914,87.27110291--126.33867645,62.55905533--54.61506271,63.89744568--80.45310211,87.53568268--93.11035156
915,87.22364807--126.53652191,62.78895187--54.63429642,63.71273422--80.78941345,87.36349487--93.00802612
916,87.17195892--126.71997070,62.94610977--54.66125107,63.55106354--81.12472534,87.17802429--92.91108704
